Id,class_bishop_conf,class_king_conf,class_knight_conf,class_pawn_conf,class_queen_conf,class_rook_conf
0,0.31298313,0.010213109,0.50203323,0.04857043,0.03305354,0.09314663
1,0.05591172,0.016934872,0.007882014,0.7579578,0.003175187,0.15813842
2,0.15778778,0.0042888857,0.24135122,0.11654193,0.076822035,0.40320817
3,0.08912827,0.0018608042,0.79694104,0.028346833,0.055627134,0.028095802
4,0.020417862,0.16872117,0.0648326,0.033818297,0.21531335,0.4968968
5,0.00012864187,0.07778387,0.044357754,0.1464405,0.04255592,0.68873334
6,0.005480369,0.020431047,0.049158078,0.58457386,0.01454683,0.32580987
7,0.18894345,0.08857172,0.23981825,0.17570277,0.14712559,0.1598383
8,0.11708473,0.003243143,0.7472743,0.034463238,0.0038480489,0.09408645
9,0.44363055,0.1767239,0.046724804,0.08872725,0.19375083,0.050442617
10,1.0842289e-06,0.0013372502,0.35351452,0.32566664,0.00045203097,0.31902856
11,0.0891282,0.0018608045,0.7969412,0.02834686,0.055627108,0.028095836
12,0.0025681115,0.23501647,0.0017264084,0.0055231317,0.019250609,0.7359153
13,0.17023812,0.00045773786,0.3991812,0.017628763,0.01845637,0.3940378
14,0.1281416,0.28474048,0.16977115,0.16263904,0.09448468,0.16022305
15,0.00061812904,0.007302522,0.56249714,0.07791775,0.0023273225,0.34933704
16,0.00012517784,0.28035113,0.2345645,0.095843874,0.013183959,0.37593132
17,0.014538587,0.07740599,0.00019717801,0.0026996995,0.17333019,0.7318284
18,0.020518364,0.014718447,0.71116114,0.12945692,0.0080213165,0.11612376
19,1.0842289e-06,0.0013372502,0.35351452,0.32566664,0.00045203097,0.31902856
20,0.020417862,0.16872117,0.0648326,0.033818297,0.21531335,0.4968968
21,0.011138537,0.02958097,0.024810212,0.16098244,0.059383463,0.7141044
22,0.3418305,0.08303677,0.023859385,0.0048991265,0.34340647,0.20296784
23,0.018031474,0.021914845,0.006352063,0.0008340989,0.019236168,0.93363136
24,0.00012864187,0.07778387,0.044357754,0.1464405,0.04255592,0.68873334
25,0.1828993,0.016168458,0.28907436,0.17944543,0.11199258,0.22041994
26,0.36604613,0.0010552156,0.031335767,0.019020708,0.5220793,0.060462866
27,0.0030113703,0.019122588,0.18218566,0.73541254,0.00020946635,0.060058452
28,0.1281416,0.28474048,0.16977115,0.16263904,0.09448468,0.16022305
29,0.00061812904,0.007302522,0.56249714,0.07791775,0.0023273225,0.34933704
30,0.0025681127,0.2350161,0.0017264083,0.005523126,0.019250635,0.7359156
31,0.05145898,0.13453144,0.33755007,0.16065831,0.02329102,0.29251015
32,0.43130967,0.34279642,0.010387494,0.035140816,0.01467522,0.16569039
33,0.42994907,0.1548154,0.10279259,0.02055072,0.2130684,0.0788239
34,0.056578398,0.007926142,0.79829127,0.060586896,0.011051997,0.06556532
35,0.122500524,0.07515589,0.08477093,0.10962874,0.1864461,0.4214978
36,0.056578398,0.007926142,0.79829127,0.060586896,0.011051997,0.06556532
37,0.031343203,0.06598208,0.6420586,0.12219733,0.07285343,0.065565296
38,0.05591172,0.016934872,0.007882014,0.7579578,0.003175187,0.15813842
39,0.31298313,0.010213109,0.50203323,0.04857043,0.03305354,0.09314663
40,0.018031474,0.021914845,0.006352063,0.0008340989,0.019236168,0.93363136
41,0.17023812,0.00045773786,0.3991812,0.017628763,0.01845637,0.3940378
42,0.056578398,0.007926142,0.79829127,0.060586896,0.011051997,0.06556532
43,0.14634237,0.010839331,0.33640715,0.22283678,0.030280255,0.25329405
44,0.12250048,0.07515593,0.08477095,0.109628804,0.1864462,0.42149764
45,0.05145898,0.13453144,0.33755007,0.16065831,0.02329102,0.29251015
46,0.21681248,0.055370968,0.31196702,0.10232706,0.0666182,0.24690422
47,0.4616506,0.443293,0.0017409523,0.04881164,0.023066074,0.021437705
48,0.00061812904,0.007302522,0.56249714,0.07791775,0.0023273225,0.34933704
49,0.020518364,0.014718447,0.71116114,0.12945692,0.0080213165,0.11612376
50,0.19044891,0.3315501,0.1692769,0.19663101,0.012389961,0.099703126
