Id,class_bishop_conf,class_king_conf,class_knight_conf,class_pawn_conf,class_queen_conf,class_rook_conf
0,0.051542565,5.653608e-07,0.89189994,0.001399756,0.00014535052,0.055011805
1,0.983943,6.070984e-11,6.968919e-11,0.015400449,7.173917e-11,0.000656461
2,0.023235189,0.008377204,0.022703605,0.14299624,0.32133862,0.4813492
3,0.0004265386,0.94338703,6.8001726e-05,2.0705917e-05,0.01582305,0.040274616
4,0.634808,0.065762684,0.0712526,0.00090593426,0.020134414,0.20713651
5,0.6013212,2.8399845e-09,0.35532668,0.00018124969,0.028811727,0.014359229
6,0.034934476,0.006245834,0.00043037583,1.0696326e-05,0.0021488585,0.9562298
7,0.001225579,0.00053849263,0.0007271214,0.009465701,0.018306509,0.96973664
8,0.051542565,5.653608e-07,0.89189994,0.001399756,0.00014535052,0.055011805
9,0.00587686,0.7292266,0.19869371,7.5697894e-06,0.028989995,0.037205238
10,3.0293106e-05,1.078753e-06,0.9998925,3.0840954e-05,4.9024734e-06,4.045073e-05
11,0.634808,0.065762684,0.0712526,0.00090593426,0.020134414,0.20713651
12,0.062087495,0.14594671,0.018079488,0.037150133,0.6855373,0.051198866
13,0.18507151,0.0628337,0.0026246957,0.16441397,0.134463,0.4505931
14,0.9984175,1.0025856e-05,2.4564025e-08,0.0012428954,2.3681088e-05,0.00030585213
15,0.001225579,0.00053849263,0.0007271214,0.009465701,0.018306509,0.96973664
16,0.32049352,0.4780714,0.04510025,0.007563556,0.08635106,0.06242012
17,0.04785432,0.04239854,0.25999886,0.034047015,0.39286616,0.22283508
18,0.023235189,0.008377204,0.022703605,0.14299624,0.32133862,0.4813492
19,0.29595542,0.10292952,0.018715153,0.010802455,0.5382232,0.033374224
20,0.01440524,0.21191566,0.036511704,0.110174365,0.49198017,0.13501279
21,0.03416057,0.39937544,0.067291655,0.00028967418,0.053342864,0.44553974
22,0.9984175,1.0025856e-05,2.4564025e-08,0.0012428954,2.3681088e-05,0.00030585213
23,0.07164927,0.023990268,0.06805138,0.0011107601,0.40363014,0.43156818
24,1.9149743e-08,3.1990182e-06,0.99999666,1.9068453e-09,1.0361324e-10,1.0277688e-07
25,0.001225579,0.00053849263,0.0007271214,0.009465701,0.018306509,0.96973664
26,0.0028064058,0.46535861,0.52875054,0.0019308628,0.0010651773,8.843351e-05
27,0.0067302296,0.0012438351,0.98394763,0.000288754,0.0023878878,0.005401603
28,0.062087495,0.14594671,0.018079488,0.037150133,0.6855373,0.051198866
29,0.09503692,0.8330338,0.00019943573,0.007223081,0.03403922,0.030467547
30,0.030128716,3.160235e-05,0.92347115,0.03236181,2.6576798e-05,0.013980116
31,0.18507151,0.0628337,0.0026246957,0.16441397,0.134463,0.4505931
32,5.101466e-06,6.1162813e-09,0.9981364,2.8774805e-08,1.1727017e-06,0.0018572806
33,4.1779334e-05,2.332944e-11,0.99988854,6.1425344e-05,4.4233096e-11,8.253635e-06
34,0.25058445,0.09138295,0.5938652,0.03186629,0.023370234,0.008930907
35,0.09503692,0.8330338,0.00019943573,0.007223081,0.03403922,0.030467547
36,0.00024098685,8.196651e-06,0.0015942209,1.1081161e-06,0.000120617995,0.9980349
37,0.11820158,0.094915554,0.09812531,0.051333316,0.5658859,0.07153837
38,0.051542565,5.653608e-07,0.89189994,0.001399756,0.00014535052,0.055011805
39,0.049327686,0.32296214,0.033220552,0.07994616,0.26535764,0.24918585
40,0.0067302296,0.0012438351,0.98394763,0.000288754,0.0023878878,0.005401603
41,0.03416057,0.39937544,0.067291655,0.00028967418,0.053342864,0.44553974
42,0.0067302296,0.0012438351,0.98394763,0.000288754,0.0023878878,0.005401603
43,0.0067302296,0.0012438351,0.98394763,0.000288754,0.0023878878,0.005401603
44,3.0293106e-05,1.078753e-06,0.9998925,3.0840954e-05,4.9024734e-06,4.045073e-05
45,0.04847817,0.8862346,0.007828914,0.0007318802,0.052160412,0.004566014
46,0.01440524,0.21191566,0.036511704,0.110174365,0.49198017,0.13501279
47,0.001225579,0.00053849263,0.0007271214,0.009465701,0.018306509,0.96973664
48,0.2148962,0.021255631,0.0035818513,0.019714804,0.593451,0.14710045
49,0.01440524,0.21191566,0.036511704,0.110174365,0.49198017,0.13501279
50,0.08265831,5.8994072e-05,0.3396398,0.0021391327,0.0025263042,0.5729775
